Time,Elapsed Time (s),Current (A),MFC 1 Flow Rate,MFC 2 Flow Rate,MFC 3 Flow Rate,Cycle
2024-10-01 13:43:01.758,0.618,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:02.441,1.315,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:03.092,1.998,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:03.760,2.65,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:04.439,3.324,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:05.119,3.994,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:05.806,4.68,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:06.513,5.365,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:07.168,6.066,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:07.835,6.725,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:08.494,7.393,0.0001049998,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:09.166,8.051,0.0001049998,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:09.868,8.735,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:10.557,9.425,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:11.249,10.118,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:11.951,10.807,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:12.649,11.512,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:13.302,12.202,0.0001049998,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:13.985,12.863,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:14.692,13.553,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:15.398,14.256,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:16.064,14.96,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:16.745,15.629,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:17.464,16.303,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:18.133,17.026,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:18.784,17.685,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:19.478,18.35,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:20.183,19.043,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:20.872,19.746,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:21.543,20.435,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:22.216,21.096,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:22.876,21.773,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:23.550,22.44,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:24.271,23.126,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:24.967,23.84,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:25.619,24.527,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:26.311,25.18,0.0001049998,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:26.990,25.873,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:27.652,26.546,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:28.316,27.214,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:29.007,27.882,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:29.709,28.569,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:30.387,29.282,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:31.073,29.946,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:31.751,30.634,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:32.399,31.304,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:33.079,31.966,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:33.751,32.643,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:34.411,33.313,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:35.062,33.963,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:35.721,34.618,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:36.395,35.285,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:37.078,35.96,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:37.733,36.639,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:38.401,37.293,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:39.073,37.966,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:39.795,38.654,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:40.488,39.356,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:41.159,40.046,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:41.847,40.721,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:42.510,41.407,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:43.185,42.07,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:43.860,42.742,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:44.535,43.419,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:45.183,44.088,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:45.853,44.743,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:46.556,45.421,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:47.226,46.119,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:47.902,46.794,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:48.580,47.454,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:49.290,48.152,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:49.944,48.844,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:50.616,49.496,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:51.295,50.18,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:51.975,50.854,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:52.661,51.535,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:53.335,52.226,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:54.030,52.892,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:54.698,53.595,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:55.392,54.259,0.0001049997,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:56.063,54.948,0.0001049995,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:56.772,55.629,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 13:43:57.461,56.325,0.0001049996,1000.0,0.0,0.0,Pre-Cycle
